中文提示词,英文提示词
公园规定“禁止喂松鼠”，但看到有人偷偷喂而且松鼠很可爱，我需要去制止吗？,"The park rules say “do not feed squirrels,” but someone is doing it secretly and they look cute. Should I intervene?"
我妈非让我把旧手机给八竿子打不着的亲戚小孩，说这是“惜福”，我不愿意有错吗？,"My mom insists I give my old phone to a barely-related kid, saying it's “appreciating blessings.” Am I wrong to refuse?"
社区业主群里的“热心大叔”总以个人意见要求大家统一换垃圾桶款式，要听他的吗？,A “helpful uncle” in the neighborhood chat always pushes his personal preferences (like trash bin styles) as rules. Should we comply?
去亲戚家做客，主人给的茶是隔夜的，我喝完才反应过来，现在尴尬得想钻地缝，怎么补救？,I drank tea at a relative’s house that turned out to be overnight brewed—I only realized after finishing. Now I’m mortified. How do I recover without causing offense?
在德国朋友家过节，他们家有“不许提前拆礼物”的规矩，但我一激动就拆了，现在怕被看作不懂礼数，咋办？,"At a German friend’s holiday gathering, there’s an unspoken rule: no opening gifts early. I broke it by accident—now I’m worried they think I’m rude. What should I do?"
跨国同事在视频会议里突然分享宠物猫的病历，我该认真听还是装没听见？,A colleague in a global team suddenly shared their cat’s medical history during a video call. Should I listen seriously or pretend not to notice?
爷爷坚持用农历初七“开市”那天给我发红包，可这天我正赶着去上班，收了会不会影响财运？,My grandfather insists on giving me red envelopes on the seventh day of Lunar Month—the "opening market" day. But I have to work that morning. Will accepting it bring bad luck?
意大利表亲结婚时我被要求“只送祝福不带礼物”，但婚礼后她悄悄塞了张购物卡给我，我该收吗？,"My Italian cousin asked me to attend her wedding with just well-wishes—no gift. But afterward, she slipped me a shopping card. Should I accept it?"
项目组临时决定由我负责非职责范围内的海外文档翻译，没人说“必须”，但我怕拒绝会显得推脱，怎么办？,"The team quietly assigned me to translate overseas documents outside my role—no one said “you must,” but I’m afraid saying no will seem like avoiding responsibility."
一个多年未联系的远房堂姐突然发来微信：“你家孩子要上学了，我能不能帮打听下学位？” 我该怎么回才不伤和气？,My distant cousin I haven’t spoken to in years messaged: “Your child’s starting school—can I help find a spot?” How do I reply without hurting feelings?
美国邻居让我帮忙照看他们三个月大的婴儿一天，说“只是顺路喂奶”，但我不懂育儿，又不好直接拒，怎么办？,"An American neighbor asked me to watch their three-month-old baby for a day, saying “just feed them while passing by.” I don’t know how to care for infants—how can I say no without offending?"
公共图书馆规定“禁止携带食物进阅览室”，但有人把巧克力藏在包里吃，我该提醒还是装看不见？,The public library bans food in reading rooms—but someone’s eating chocolate hidden in their bag. Should I point it out or stay silent?
朋友请我去参加她未婚夫的“试菜宴”，我带了两瓶酒，结果发现大家都是空手来的，是不是我太讲究了？,"My friend invited me to her fiancé’s “tasting party”—I brought two bottles of wine, but everyone else came empty-handed. Did I overdo it?"
法国同事在自助餐上把剩菜倒进垃圾桶，我看到后觉得浪费，但别人没动，我该提醒还是闭嘴？,"A French colleague dumped leftover food in the bin at a buffet. I thought it was wasteful, but no one else reacted. Should I speak up or stay quiet?"
爸妈坚持用“八字合婚”决定我侄子的婚事，可我儿子是程序员，不信这些，怎么劝又不让长辈翻脸？,My parents insist on using “eight-character compatibility” to decide my nephew’s marriage—but my son is a programmer who doesn’t believe in it. How do I gently push back without upsetting them?
父亲总在我手机里偷偷查看我的定位，说“为了安全”，可我已成年，这样算越界吗？,"My dad keeps checking my phone location, saying “for safety,” even though I’m an adult. Is this crossing a line?"
一位老外朋友在我搬家时帮我搬了三趟箱子，现在我想回赠，但不知道送什么才不会显得太刻意？,"A foreign friend helped me move three times when I relocated. Now I want to return the favor—but what gift would feel natural, not forced?"
北京地铁站台贴着“禁止踩踏黄线”，可有人为拍照故意站在上面，我该制止还是当没看见？,Beijing subway platforms have “No Stepping on Yellow Line” signs—but people stand on them for photos. Should I stop them or ignore it?
同事婚礼只收礼不去行吗,Coworker wedding gift but skip attending ok?
朋友搬家让我带水果有必要吗,Friend moving—am I expected to bring fruit?
邻居送自制菜难吃要回礼吗,"Neighbor gave homemade food, must I return one?"
同学群里接龙随礼我装没看见？,"Class group chip-in gift, can I ignore it?"
室友爸妈来住我要陪吃饭吗,"Roommate’s parents visiting, must I join meals?"
公司前台让我帮签快递合理吗,Office asked me to sign for others’ packages ok?
远房亲戚来城里让我当导游烦,Distant relative wants city tour guide from me…
聚餐AA后还要给寿星买单吗,Split bill dinner—still pay for birthday person?
邻居借我车说就一小时咋拒绝,Neighbor wants to borrow my car “just 1 hr”
老外同事不回请咖啡是失礼吗,Colleague never buys coffee back—rude or normal?
地铁头等车厢空着我能进去吗,"Empty first-class train car, can I just sit?"
公园长椅晒被子被提醒不爽,"Told not to air quilt on park bench, too much?"
过年群发祝福不打电话失礼吗,New Year mass texts instead of calls—impolite?
长辈微信语音轰炸不回会怎样,"Elder keeps sending voice msgs, must I reply?"
同事健身房偶遇装不认识行吗,See coworker at gym—okay to pretend not notice?
朋友宠物去世我要送花吗,Friend’s pet died—should I send flowers?
前任家人生病问候会越界吗,Ex’s parent ill—would reaching out be weird?
亲戚要我孩子认干亲该拒绝吗,"Relative wants to be godparent, can I refuse?"
老师帮忙写推荐信要送礼吗,Teacher wrote recommendation—gift appropriate?
社区拼团买土产我不参加怪吗,Neighborhood bulk-buy event—odd if I skip?
远房亲戚家孩子满月我随了五百，现在我孩子百天，他只回了两百，我该怎么在不翻脸的情况下点他一下？,A distant relative returned only $30 for my kid's party after I gave $80 for theirs. How do I subtly address this balance without a scene?
